,acc_mu,acc_std,f1_mu,f1_std,id,kelly_mu,kelly_std,logloss_mu,logloss_std,precision_mu,precision_std,recall_mu,recall_std,unit_mu,unit_std
0,0.5484375,0.008414320011147662,[0.60815789 0.         0.62306438],[0.01161902 0.         0.00848171],all_features_2018-06-14,0.797071917171078,0.05492625944887696,0.9719300521803953,0.004270988501360246,[0.55012097 0.         0.54689171],[0.00854324 0.         0.00840234],[0.68  0.    0.724],[0.01788854 0.         0.012     ],1.0078593750000002,0.015116095325533666
1,0.6359375,0.007160274523368501,[0.6480111  0.14285714 0.72963126],[6.35880069e-03 2.77555756e-17 8.65016483e-03],all_features_2014-06-12,3.7157057319816738,0.25034450412316284,0.8791486121217849,0.002523302932208653,[0.64402174 1.         0.62211538],[0.01245265 0.         0.00440632],[0.65217391 0.07692308 0.88214286],[1.11022302e-16 1.38777878e-17 1.63663418e-02],1.2772500000000009,0.030932385940951972
2,0.5140625,0.012979099785809493,[0.59828312 0.         0.60844422],[0.01685624 0.         0.01679094],all_features_2010-06-11,0.5612504627264475,0.053666359370697934,1.0418436140218716,0.007125769910035689,[0.54015652 0.         0.53834494],[0.01074873 0.         0.01011366],[0.67083333 0.         0.7       ],[0.02916667 0.         0.03118048],0.9489062500000003,0.038809996396708187
3,0.5171875,0.0109375,[0.56300144 0.         0.59692577],[0.01403844 0.         0.01237784],general_features_2018-06-14,0.6352756658042208,0.036626764438971206,0.9952897902305251,0.0041316465277655735,[0.51850945 0.         0.51605297],[0.01164706 0.         0.01031539],[0.616 0.    0.708],[0.01959592 0.         0.0183303 ],0.96246875,0.020666364770140246
4,0.6328125,0.012597277731716485,[0.68207231 0.         0.72240607],[0.01943616 0.         0.01029413],general_features_2014-06-12,2.257282447991156,0.11936540553532904,0.9111718985641438,0.003482504528029659,[0.64118162 0.         0.63072324],[0.03726406 0.         0.01109062],[0.73043478 0.         0.84642857],[0.0173913  0.         0.03214286],1.2456875000000007,0.045092526404050565
5,0.54375,0.01530931089239486,[0.60874413 0.         0.63320817],[0.02534896 0.         0.0120148 ],general_features_2010-06-11,1.087509784252181,0.10442888671815613,0.9837247687303291,0.0027677875942581863,[0.54637977 0.         0.5415594 ],[0.02189084 0.         0.01166418],[0.6875 0.     0.7625],[0.03359274 0.         0.01909407],0.9971562500000001,0.05870513579534598
6,0.596875,0.00625,[0.65566609 0.         0.68342873],[0.00671734 0.         0.00885474],player_features_2018-06-14,1.5593489200884267,0.04802230616050175,0.9333995958902911,0.0017393431419142876,[0.60485222 0.         0.59009804],[0.00819575 0.         0.00515895],[0.716 0.    0.812],[0.012     0.        0.0183303],1.1472656249999997,0.019308511167762932
7,0.621875,0.00625,[0.61951691 0.         0.73921325],[0.00541063 0.         0.00728778],player_features_2014-06-12,1.5276761745865266,0.08742613610449346,0.9311312260445996,0.0031843746459605912,[0.63083004 0.         0.61718931],[0.01106719 0.         0.00371661],[0.60869565 0.         0.92142857],[0.         0.         0.01428571],1.2197812500000003,0.026999999999999958
8,0.5078125,0.0078125,[0.58866041 0.         0.57232737],[0.00798454 0.         0.01169627],player_features_2010-06-11,0.5043522586682772,0.04257786057973645,1.0563451110485427,0.006382697709718562,[0.52452285 0.         0.49242424],[0.00841447 0.         0.00757576],[0.67083333 0.         0.68333333],[0.0125     0.         0.02041241],0.9104687500000003,0.020329920414563857
