,acc_mu,acc_std,f1_mu,f1_std,id,kelly_mu,kelly_std,logloss_mu,logloss_std,max_depth,max_features,min_samples_leaf,precision_mu,precision_std,recall_mu,recall_std,unit_mu,unit_std
0,0.59375,0.0,[0.66666667 0.         0.66666667],[1.11022302e-16 0.00000000e+00 1.11022302e-16],all_features_2018-06-14,1.3558541301218516,0.044525003966084976,0.9507919250743146,0.00161208104368114,8.0,sqrt,1,[0.59375 0.      0.59375],[0. 0. 0.],[0.76 0.   0.76],[1.11022302e-16 0.00000000e+00 1.11022302e-16],1.1351562499999999,0.0
1,0.58125,0.00625,[0.57132285 0.         0.69769821],[0.01221092 0.         0.00409207],all_features_2014-06-12,1.1236754044500734,0.010246772513311613,0.9350203705804991,0.0005374350586650133,8.0,sqrt,1,[0.56884058 0.         0.58829268],[0.00724638 0.         0.00585366],[0.57391304 0.         0.85714286],[1.73913043e-02 0.00000000e+00 1.11022302e-16],1.0594375,0.021062500000000026
2,0.528125,0.00625,[0.57656566 0.         0.62940109],[0.01050505 0.         0.00435572],all_features_2010-06-11,1.2420306783742159,0.04432133318504541,0.9788199054446636,0.0016323791270432032,8.0,sqrt,1,[0.51290323 0.         0.54224599],[0.00645161 0.         0.00641711],[0.65833333 0.         0.75      ],[0.01666667 0.         0.        ],0.9719687499999999,0.012937499999999958
3,0.5203125,0.010004881620988827,[0.56333524 0.         0.60308419],[0.0170189  0.         0.00644438],general_features_2018-06-14,0.8093902106993424,0.018657378711297523,0.9831139946240105,0.0011502384620524187,8.0,log2,10,[0.52195402 0.         0.51890756],[0.0105403 0.        0.0095166],[0.612 0.    0.72 ],[2.56124969e-02 0.00000000e+00 1.11022302e-16],0.9459531249999994,0.025726404731143945
4,0.59375,0.0,[0.625      0.         0.68656716],[0.00000000e+00 0.00000000e+00 1.11022302e-16],general_features_2014-06-12,2.076119175030104,0.044667486699933305,0.9132890962307334,0.0010653205406818034,8.0,log2,10,[0.6        0.         0.58974359],[1.11022302e-16 0.00000000e+00 1.11022302e-16],[0.65217391 0.         0.82142857],[1.11022302e-16 0.00000000e+00 0.00000000e+00],1.1365625000000006,0.0
5,0.509375,0.007654655446197431,[0.56576169 0.         0.59606557],[0.01366985 0.         0.00481867],general_features_2010-06-11,1.9975079929649144,0.036265299296291825,0.952174170261537,0.0010142155872044172,8.0,log2,10,[0.52883598 0.         0.49459459],[0.00842417 0.         0.00662024],[0.60833333 0.         0.75      ],[0.02041241 0.         0.        ],0.94921875,0.024494897427831803
6,0.584375,0.01739926363384382,[0.66655368 0.         0.64668423],[0.0268425  0.         0.01763041],player_features_2018-06-14,1.0204439235023748,0.026193627845427288,0.9565868553421824,0.0013296652138229275,,sqrt,5,[0.62371921 0.         0.55240101],[0.02445649 0.         0.0140569 ],[0.716 0.    0.78 ],[0.0332265  0.         0.02683282],1.1226249999999998,0.05101847474812438
7,0.6109375,0.008414320011147662,[0.62933673 0.         0.71664405],[0.01244783 0.         0.00783183],player_features_2014-06-12,1.1082436028649874,0.04865525411568056,0.9445574907089892,0.002387155077786699,,sqrt,5,[0.60076923 0.         0.61761134],[0.01       0.         0.00759851],[0.66086957 0.         0.85357143],[0.0173913  0.         0.01071429],1.161125,0.026376258856213922
8,0.5390625,0.0078125,[0.59992063 0.         0.63169562],[0.01280594 0.         0.00858596],player_features_2010-06-11,1.0829732947377722,0.021025192578696526,0.9996268342637535,0.0008877952511502632,,sqrt,5,[0.53227823 0.         0.54575535],[0.01023277 0.         0.01281737],[0.6875 0.     0.75  ],[0.02083333 0.         0.        ],1.02228125,0.020926792971272493
