id,date,home_team,away_team,home_score,away_score,group
0,2010-06-11,South Africa,Mexico,1,1,A
1,2010-06-11,Uruguay,France,0,0,A
2,2010-06-12,Argentina,Nigeria,1,0,B
3,2010-06-12,England,United States,1,1,C
4,2010-06-12,Korea Republic,Greece,2,0,B
5,2010-06-13,Algeria,Slovenia,0,1,C
6,2010-06-13,Germany,Australia,4,0,D
7,2010-06-13,Serbia,Ghana,0,1,D
8,2010-06-14,Italy,Paraguay,1,1,F
9,2010-06-14,Japan,Cameroon,1,0,E
10,2010-06-14,Netherlands,Denmark,2,0,E
11,2010-06-15,Brazil,Korea DPR,2,1,G
12,2010-06-15,Ivory Coast,Portugal,0,0,G
13,2010-06-15,New Zealand,Slovakia,1,1,F
14,2010-06-16,Honduras,Chile,0,1,H
15,2010-06-16,South Africa,Uruguay,0,3,A
16,2010-06-16,Spain,Switzerland,0,1,H
17,2010-06-17,Argentina,Korea Republic,4,1,B
18,2010-06-17,France,Mexico,0,2,A
19,2010-06-17,Greece,Nigeria,2,1,B
20,2010-06-18,England,Algeria,0,0,C
21,2010-06-18,Germany,Serbia,0,1,D
22,2010-06-18,Slovenia,United States,2,2,C
23,2010-06-19,Cameroon,Denmark,1,2,E
24,2010-06-19,Ghana,Australia,1,1,D
25,2010-06-19,Netherlands,Japan,1,0,E
26,2010-06-20,Brazil,Ivory Coast,3,1,G
27,2010-06-20,Italy,New Zealand,1,1,F
28,2010-06-20,Slovakia,Paraguay,0,2,F
29,2010-06-21,Chile,Switzerland,1,0,H
30,2010-06-21,Portugal,Korea DPR,7,0,G
31,2010-06-21,Spain,Honduras,2,0,H
32,2010-06-22,Greece,Argentina,0,2,B
33,2010-06-22,Mexico,Uruguay,0,1,A
34,2010-06-22,Nigeria,Korea Republic,2,2,B
35,2010-06-22,South Africa,France,2,1,A
36,2010-06-23,Australia,Serbia,2,1,D
37,2010-06-23,Ghana,Germany,0,1,D
38,2010-06-23,Slovenia,England,0,1,C
39,2010-06-23,United States,Algeria,1,0,C
40,2010-06-24,Cameroon,Netherlands,1,2,E
41,2010-06-24,Denmark,Japan,1,3,E
42,2010-06-24,Paraguay,New Zealand,0,0,F
43,2010-06-24,Slovakia,Italy,3,2,F
44,2010-06-25,Chile,Spain,1,2,H
45,2010-06-25,Korea DPR,Ivory Coast,0,3,G
46,2010-06-25,Portugal,Brazil,0,0,G
47,2010-06-25,Switzerland,Honduras,0,0,H
48,2010-06-26,Uruguay,Korea Republic,2,1,
49,2010-06-26,United States,Ghana,1,2,
50,2010-06-27,Argentina,Mexico,3,1,
51,2010-06-27,Germany,England,4,1,
52,2010-06-28,Brazil,Chile,3,0,
53,2010-06-28,Netherlands,Slovakia,2,1,
54,2010-06-29,Paraguay,Japan,0,0,
55,2010-06-29,Spain,Portugal,1,0,
56,2010-07-02,Netherlands,Brazil,2,1,
57,2010-07-02,Uruguay,Ghana,1,1,
58,2010-07-03,Argentina,Germany,0,4,
59,2010-07-03,Paraguay,Spain,0,1,
60,2010-07-06,Uruguay,Netherlands,2,3,
61,2010-07-07,Germany,Spain,0,1,
62,2010-07-10,Uruguay,Germany,2,3,
63,2010-07-11,Netherlands,Spain,0,1,
