id,date,home_team,away_team,home_score,away_score,group
0,2014-06-12,Brazil,Croatia,3,1,A
1,2014-06-13,Chile,Australia,3,1,B
2,2014-06-13,Mexico,Cameroon,1,0,A
3,2014-06-13,Spain,Netherlands,1,5,B
4,2014-06-14,Colombia,Greece,3,0,C
5,2014-06-14,England,Italy,1,2,D
6,2014-06-14,Ivory Coast,Japan,2,1,C
7,2014-06-14,Uruguay,Costa Rica,1,3,D
8,2014-06-15,Argentina,Bosnia and Herzegovina,2,1,F
9,2014-06-15,France,Honduras,3,0,E
10,2014-06-15,Switzerland,Ecuador,2,1,E
11,2014-06-16,Germany,Portugal,4,0,G
12,2014-06-16,Ghana,United States,1,2,G
13,2014-06-16,IR Iran,Nigeria,0,0,F
14,2014-06-17,Belgium,Algeria,2,1,H
15,2014-06-17,Brazil,Mexico,0,0,A
16,2014-06-17,Russia,Korea Republic,1,1,H
17,2014-06-18,Australia,Netherlands,2,3,B
18,2014-06-18,Cameroon,Croatia,0,4,A
19,2014-06-18,Spain,Chile,0,2,B
20,2014-06-19,Colombia,Ivory Coast,2,1,C
21,2014-06-19,Japan,Greece,0,0,C
22,2014-06-19,Uruguay,England,2,1,D
23,2014-06-20,Honduras,Ecuador,1,2,E
24,2014-06-20,Italy,Costa Rica,0,1,D
25,2014-06-20,Switzerland,France,2,5,E
26,2014-06-21,Argentina,IR Iran,1,0,F
27,2014-06-21,Germany,Ghana,2,2,G
28,2014-06-21,Nigeria,Bosnia and Herzegovina,1,0,F
29,2014-06-22,Belgium,Russia,1,0,H
30,2014-06-22,Korea Republic,Algeria,2,4,H
31,2014-06-22,United States,Portugal,2,2,G
32,2014-06-23,Australia,Spain,0,3,B
33,2014-06-23,Cameroon,Brazil,1,4,A
34,2014-06-23,Croatia,Mexico,1,3,A
35,2014-06-23,Netherlands,Chile,2,0,B
36,2014-06-24,Costa Rica,England,0,0,D
37,2014-06-24,Greece,Ivory Coast,2,1,C
38,2014-06-24,Italy,Uruguay,0,1,D
39,2014-06-24,Japan,Colombia,1,4,C
40,2014-06-25,Bosnia and Herzegovina,IR Iran,3,1,F
41,2014-06-25,Ecuador,France,0,0,E
42,2014-06-25,Honduras,Switzerland,0,3,E
43,2014-06-25,Nigeria,Argentina,2,3,F
44,2014-06-26,Algeria,Russia,1,1,H
45,2014-06-26,Korea Republic,Belgium,0,1,H
46,2014-06-26,Portugal,Ghana,2,1,G
47,2014-06-26,United States,Germany,0,1,G
48,2014-06-28,Brazil,Chile,1,1,
49,2014-06-28,Colombia,Uruguay,2,0,
50,2014-06-29,Costa Rica,Greece,1,1,
51,2014-06-29,Netherlands,Mexico,2,1,
52,2014-06-30,France,Nigeria,2,0,
53,2014-06-30,Germany,Algeria,2,1,
54,2014-07-01,Argentina,Switzerland,1,0,
55,2014-07-01,Belgium,United States,2,1,
56,2014-07-04,Brazil,Colombia,2,1,
57,2014-07-04,France,Germany,0,1,
58,2014-07-05,Argentina,Belgium,1,0,
59,2014-07-05,Netherlands,Costa Rica,0,0,
60,2014-07-08,Brazil,Germany,1,7,
61,2014-07-09,Netherlands,Argentina,0,0,
62,2014-07-12,Brazil,Netherlands,0,3,
63,2014-07-13,Germany,Argentina,1,0,
